"cust_id","Name Prefix","First Name","Middle Initial","Last Name","full_name","User Name","Gender","age","E Mail","Customer Since","SSN","Phone No."
4,Mr.,Reggie,C,Doughty,"Doughty, Reggie",rcdoughty,M,33,reggie.doughty@gmail.com,2010-01-04,"321-11-0416","314-677-4501"
15,Ms.,Debbie,P,Diebold,"Diebold, Debbie",dpdiebold,F,69,debbie.diebold@bp.com,2010-12-31,"327-11-1682","219-549-4320"
16,Mr.,Michal,I,Sturtevant,"Sturtevant, Michal",misturtevant,M,59,michal.sturtevant@btinternet.com,1995-10-06,"221-13-0103","803-374-2594"
20,Mr.,Eddy,R,Pulver,"Pulver, Eddy",erpulver,M,27,eddy.pulver@yahoo.co.uk,2008-11-14,"329-11-6881","228-218-3002"
21,Mr.,Adam,Z,Kan,"Kan, Adam",azkan,M,34,adam.kan@shell.com,2010-05-26,"254-99-4102","240-373-3212"
23,Mr.,Roscoe,E,Bostwick,"Bostwick, Roscoe",rebostwick,M,66,roscoe.bostwick@yahoo.ca,2012-12-03,"714-18-0138","207-418-3786"
28,Mr.,Reinaldo,L,Drain,"Drain, Reinaldo",rldrain,M,71,reinaldo.drain@yahoo.com,2007-03-14,"640-29-1496","206-617-2495"
32,Hon.,Reginald,O,Horne,"Horne, Reginald",rohorne,M,62,reginald.horne@gmail.com,2004-03-07,"494-29-6685","907-557-6033"
33,Drs.,Darnell,X,Rapoza,"Rapoza, Darnell",dxrapoza,F,69,darnell.rapoza@gmail.com,2000-12-22,"061-02-3422","480-466-4299"
41,Mr.,Angelo,G,Batty,"Batty, Angelo",agbatty,M,23,angelo.batty@rediffmail.com,2012-01-20,"593-99-1055","202-499-8763"
44,Mrs.,Kendall,I,Ro,"Ro, Kendall",kiro,F,35,kendall.ro@gmail.com,2011-11-02,"067-02-0559","479-228-4045"
47,Mr.,Jessie,C,Schock,"Schock, Jessie",jcschock,M,33,jessie.schock@bp.com,2013-04-03,"057-02-1158","215-912-5436"
54,Mr.,Scot,M,Sciortino,"Sciortino, Scot",smsciortino,M,22,scot.sciortino@outlook.com,2010-05-18,"100-02-4413","218-691-3575"
56,Mr.,Rene,C,Oswald,"Oswald, Rene",rcoswald,M,30,rene.oswald@aol.com,2015-06-24,"770-02-7227","239-901-5714"
58,Mrs.,Nilsa,U,Lippert,"Lippert, Nilsa",nulippert,F,67,nilsa.lippert@aol.com,2014-10-31,"224-99-7556","217-870-1333"
62,Ms.,Noel,J,Dimartino,"Dimartino, Noel",njdimartino,F,37,noel.dimartino@outlook.com,2010-06-13,"502-37-1103","228-958-1624"
